title,company,location,salary,job_requirements,job_description
Lead Generator (Export Department),Deco Mica,Jodhpur Cross Road,"240,000
						-
						360,000 ",Good Communication Skills,"Responsibilities & duties:
•	Research, track, maintain, and update leads
•	Make outgoing calls to develop new business
•	Research and maintain lead generation database
•	Conduct customer research
•	Conduct client or market surveys to obtain information about potential leads
•	Provide accurate and timely information to management
•	Develop a strong knowledge of the company’s products and services in order to facilitate the sales process

Skills/attributes required:
•	Excellent English communication (verbal and written)
•	Experience with cold calling
•	Experience with research and maintaining databases
•	Proficient in MS Office including Word, Excel, and Outlook
•	Strong project and time management skills

Qualifications/experience required:
•	Bachelor’s degree in any stream
•	1-2-year(s) experience in Lead Generation

"
(US) J1 Construction - Trainees,Magic Billion,Delhi-NCR,"219,120
						-
						239,040 ",,"Note: Please Read The JD Carefully
Stipend: - $12/Hour; About $720/Week (Maximum 55 Or 60 Working Hours/Week)
Employer Provides A Subsidized Home & Car During Internship/Training

About Magic Billion:
We Are An International Talent Mobility Company Bridging The Gap Between Global Employers And The Indian Youth. We Work With Govt Of India, State Governments, And Skill Councils For International Placements. We Place Candidates Across Industries Such As Healthcare, Hospitality, QSR, Engineering, Retail Sales, Handwork, Food Technology, Agriculture, Meat Processing, Etc.

About The Program:
The Opportunity Enables Indian Candidates To Pursue Training In The Area Of Construction In Order To Improve Their Knowledge Of Advanced Construction Practices, Techniques, Methodologies, And Expertise While Enhancing Their Understanding Of American Culture.

You Will Learn:
To Work With Concrete
To Work With Metal Buildings To Do Road Work
To Do Roofing And House Modelling
To Work On Wood Frame Housing Based On Your Eligibility, The Employer May Choose You Either For Any: Internship Or Training (Both Are 12-Month Programs)

Eligibility For Interns:
Pursuing A Diploma In Civil Engineering Or A Bachelor’s Degree In Vocational (With A Focus On Construction/ Construction-Related Roles)
Have Graduated No More Than 12 Months Prior To Their Program's Beginning Date. Age: 18 - 25 Years
Eligibility For Trainees:
A Degree Outside The US Degree In A Construction Related Field With At Least One Year Of Prior Related Work Experience
OR
Five Years Of Work Experience Acquired Outside The US In The Construction Related Field. Age: 18 - 25 Years
Program Fees Includes:
Screening And Placement With A Suitable Host Site.
Background And Document Check Of Candidates For Host Company.
Ongoing Support From The WISE National Office And Local Representative (Once In The US) And From Magic Billion (In India). DS-2019 For The Internship Or Training Program.
Complete Pre-Arrival/Departure Materials And A Pre-Arrival/Departure Training.
Program Fees Excludes:
J1 Visa Fees/SEVIS Fees To The US Embassy.
Airfare To The US. Any Other Costs, Not Specifically Mentioned In The Inclusions Above.
Food & Accommodation In The US.
Language Requirements:
Candidate Must Be Fluent In English To Benefit From And Comprehend Fully The Program Being Undertaken.
IELTS Is Not Compulsory.
Process & Next Steps:
Step 1 - Eligibility Check Pay An Advance Registration Fee Of INR 15,000/- Along With The Required Documents For Verification, Eligibility Check, And Interview Lineup.
Step 2 - Interview Round 1
Interview Round With Magic Billion Team.
Sharing Shortlisted Profiles With US Sponsors By Means Of Application Submission Via The Prescribed Portal.
Step 3 - Interview Round 2:
Interview Round With US Sponsor.
Interview On Both Technical And Behavioral Aspects.
Step 4 - Interview Round:
US Sponsor Allocates Host Organization, Gets A Sign-Off On The Training Program, And Shares With Applicant.
Step 5 - Fly To The USA
Filing For Visa Paperwork And Flying To The US.
Program Fees: ₹3,24,696/-
This Fee Includes GST & Advance Registration Fees. The Fees Shown Above Will Be Charged Based On The Dollar-Rupee Conversion Rate At The Time Of Payment. Currently, $1 = ₹83 Is Used In The Calculation."
Visa Counsellor,Unique World,Vesu,"20,000
						-
						400,000 ",Visa processing,"Keeping up-to-date with alterations to immigration laws
Meeting with prospective & extant clients to gauge which services they require
Assisting clients with the completion of paperwork & ensuring that submitted on time
Verifying the authenticity of paperwork & documents.
Ensuring that pets undergo medical checkups & then making appropriate accommodations to ensure that they are transported in a safe & legal manner"
Sales Agent,Atria Convergence Technologies,Nearby areas - Guntur,"250,000
						-
						365,000 ",,"Atria Convergence Technologies is aggressively hiring for the job profile of Sales Agent for 10 open positions at Guntur in Guntur locality. Kindly go through the FAQs below to get all answers related to the given job.

        "
Phlebotomist,Mediprivacy,Gurgaon One Apartment Gurgaon,"155,000
						-
						455,000 ",Healthcare,Phlebotomist required for trusted  collection center 
Hong Kong- Senior UI Software Engineer,AP Global Services Pvt. ltd.,Bengaluru,"291,667
						-
						375,000 ",HTML,"As a Senior Professional UI Developer, his primary responsibility is to create user interfaces to maximize the usability and performance of web and mobile applications to research, coordinate and share financial information across multiple channels."
Angular Developer,Optical Arc,Kharadi Bypass,"300,000
						-
						500,000 ",,"Responsibilities and Duties

Work alongside a broader team with a focus on Back End processes, DevOps Efficiency with the goal of delivering high-quality projects using the latest tech stack.
Championing Web Development: You will be responsible for handling web development from ideation to production.
Continuously evaluate and implement new technologies to maximize development efficiency.
Contribute best-in-class programming skills to develop highly innovative, consumer-facing web products.
Collaboration with product manager and other developers, owning a large part of the process from problem understanding to shipping the solution.

Required Skills

2-3 years of experience in Angular 2 and above
Hands on experience with integrating RESTful APIs
Strong proficiency with JavaScript ES6 / TypeScript
Understanding of MVC & MVVM architectures
Understanding the nature of asynchronous programming, its quirks and workarounds
Basic knowledge of React is a plus.



"
Data Analyst,Lets Go,Katargam,"40,000
						-
						100,000 ",MySQL,REQUIRE CANDIDATE WHO HAS GOOD EXPERIENCE IN INDUSTRY.
Assistant Director,Ainvincible Marketing Private Limited,Civil Lines,"25,000
						-
						110,000 ",Business development,"Ainvincible Marketing Private Limited is aggressively hiring for the job profile of Assistant Director for 10 open positions at Prayagraj in Civil Lines locality. Kindly go through the FAQs below to get all answers related to the given job.

        "
Canada- Project Manager - Electricals,AP Global Services Pvt. ltd.,Bengaluru,"208,333
						-
						291,667 ",,"Roles and Responsibilities :

Will individually plan, organize, supervise and execute projects according to the design, specification and the quality standard.
Establishing time span of project execution, listing down resource needs for projects, after considering the budgetary parameters set.
Participating in project review meetings for evaluating project progress providing technical inputs.
Supervising all electrical activities including providing technical inputs & coordination with site management activities.
Reviewing the project time schedule, providing the project planner with the updated activities due to site conditions and variations.
Conduct the inspection of materials followed with the specification, approval, quality and quantity as per the PR and BoQ requirement.
Monitoring and controlling projects with respect to cost, resource deployment, time over-runs and quality compliance to ensure satisfactory execution of projects.
Maintain all the partial tests and complete tests witness documents signed by PMC/ consultant/ Client. Overseeing quality control, health and safety matters on site.
Responsible to track project changes and produces updated site followed schedule & GFC drawings as agreed with Consultant, Client.
Liaising with clients, contractors & external agencies for determining technical specifications, approvals and obtaining statutory clearances


Desired Candidate Profile

Minimum 4+ year Supervisory experience of leading project teams with overall experience of 10+ years
Should be able to manage projects independently including manpower and materials management with sound knowledge of wiring regulations and Voltages from 415 Volts to 11000 Volts.
Should have thorough knowledge of testing
Excellent exposure of handling commercial, residential and industrial projects
Must possess excellent verbal & written communication skills
A Leader & a team player who can motivate the team & guides them to achieve company's objectives

Perks and Benefits

Net Savings $2500 - $4000 (Negotiable on current) + Food + Transportation + Accommodation + Airfare + All Expat benefits"
Sales Manager,Hdfc Life Insurance Company Limited,Nearby areas - Visakhapatnam,"350,000
						-
						552,000 ",,"Recruit, Train And Enable Financial Consultants. 
Achieve Sales Targets.
Strive for Customer Satisfaction.
Recruiting and Building a High Performing Distribution Network of Financial Consultants (FC'S).
Training, Motivating and driving These Certified Financial Consultants to sell Insurance.
Meeting Prospective Customers with FCS to sell insurance solutions.
"
(UK) Band 5 Nurse (Cambridge Uni Hospital),Salesman Corporation Private Limited Opc,Lucknow,"213,025
						
						 ",Nursing,"Employer: Cambridge University Hospitals
Timeline (Candidate Deployment Date to Destination Country) : As soon as possible
Any other preference: Must have passed OET / IELTS EXAM
Personality Traits/ Specific (If any): caring, empathetic
Working Hours/ Day: typically 12 hours x 3 days a week
Contract Duration (Years): 3 years
Is the contract renewable : Yes
Probation Period (Years): 6 months
Cost Borne by Employer: Yes
Interview Mode: Online
Candidates must have a minimum of 9 month post graduate nursing experience, they must have past their IELTS or OET before we interview them, they must have experience working in a 150 + bedded hospital
Candidate needs to do Clinical supervision, administering medications and treatments, operating medical equipment
"
Software Developer,Frontera Immigration Services Private Limited,DLF City Centre chandigarh,"30,000
						-
						100,000 ",JavaScript,"Researching, designing, implementing, and managing software programs. Testing and evaluating new programs. Identifying areas for modification in existing programs and subsequently developing these modifications. Writing and implementing efficient code.
Software Developers have many different day-to-day responsibilities, such as creating efficient algorithms, producing clean code, integrating third-party programs into systems, and identifying areas of improvement based on user feedback."
Resident Medical Officer/MD,Career & Courses,Howrah,"140,000
						-
						150,000 ",Healthcare,"1.Educational Qualification: MD Medicine
2. Experience : 5 Year"
Equity Dealer/Equity Analyst,I Cap Financial Services,Richmond Circle,"200,000
						-
						500,000 ",Lead Generation,"Advising Super HNI clients on Equity, Derivatives, currency and commodity markets. Cross selling of other products like Mutual Fund, Pms, Insurance.
SKILLS
Indebt Knowledge of options trading, technical analysis, and candle stick charts."
Qatar- TSE Plant Engineer (Facility),AP Global Services Pvt. ltd.,Bengaluru,"100,000
						-
						116,667 ",,"Job description:
-Exp in Large Water treatment, Chemical dosing system & RO membranes
-working knowledge of DCS, PLC & SCADA, HMI control System software.
-troubleshoot or function of Flow meters, Pressure transmitters & switches
-O&M of the RO Plant & SCADA systems.

Required Candidate profile:
-Min 5 Yrs of Exp in the O&M of various plant controlled with SCADA in the environment of large water treatment and Reverse Osmosis filtration plants
-Ability to manage PPM and CMMS work.
"
Business Development Engineer,Online Micro Controls,Thaltej,"150,000
						-
						350,000 ",Good Communication Skills,"* Qualification: BE /Diploma in Electrical/Electronic Engineering.
* MBA or Diploma is Marketing will be an added advantage.
* Experience: 0 to 5 years of relevant experience.
* Establish and maintain strong customer relations & management of customer database.
* Knowledge of Electrical power, reactive load, power factor and its control is required
* Knowledge of Electrical & Electronics parameters, devices, equipments and switch gears
* Assist marketing team in preparing market plans and strategies to promote company’s products.
* Analyze existing and potential markets to identify and secure business development opportunities.
* Conduct competitive product analysis and market research to develop road map and sales strategy to secure new business.
* Identify & Explore new geographical and Industrial areas for sales of Existing products
* Identify potential application areas for new product development
* Prepare effective proposals, presentations, demonstrations and sales promotional tool on business development opportunities
* Enthusiastic go-getter with excellent communication and Negotiation Skills to close deals and achieve targets.
* Excellent proactive understanding of Market & customer needs to lead in new market capturing.
* Excellent interpersonal skill to handle variety of customers.
* Proficient in English / Hindi / Gujarati Language & Computer - Windows-MS Office.
* Ready to travel, love meeting new people, dynamic, growth oriented & organized."
Android Developer,DI Solutions,Varachha,"15,000
						-
						350,000 ",Kotlin,"DI Solutions is aggressively hiring for the job profile of Android Developer for 10 open positions at Surat in Varachha locality. Kindly go through the FAQs below to get all answers related to the given job.

        "
Angular Cum Dot Net Developer,Elite Hr Services,Iskon Mandir,"40,000
						-
						130,000 ",JavaScript,"2+ years of experience in .Net Software Development, Recent 2+ years of architecture, design, implementation of highly distributed applications (i.e. having an architectural sense for ensuring availability, reliability, scalability etc.)
Hands on analysis, design and implementation of micro-services based applications using C# ASP.NET, MVC, .Net Core, Angular, Web API, Entity Framework, JavaScript, SQL Server.
Proven experience in Microservices and hybrid application building and deployment
Well versed with Azure services and costing parameters
Hands on SOLID principles & architectural design patterns
MS-SQL server, Data warehouse, SSIS, SSAS
Experience in Application Security and Performance tuning.
Experience in creating automated build and test environments / CICD/ DevOps
Experience in defining and implementing Hybrid scenarios with workloads shared across on premise and public cloud using zero trust approach
Highly effective team-working skills, with an established track record in building team at all technical levels
Research oriented, flexible, open to change and adapt quickly.
Passionate to work on mission critical tasks and solve real world problems.
Healthcare Domain knowledge is a big plus"
Full Stack Developer,Cognitensor Technology Private Limited,Noida Sector 16,"83,333
						-
						125,000 ",React,"ROLE: Full Stack Developer


About the company:
CogniTensor is an analytical software company that brings data to the heart of decision-making. CogniTensor leverages its product, DeepOptics - an integrated platform  to implement 3A (Automation, Analytics and AI) at scale. 

Cognitensor has customers ranging in Finance, Energy, Commodity, Retail & Manufacturing. More details can be found on our website: https://www.cognitensor.com/

Our strategic investors include Shell and CIIE.CO (IIM-A/Accenture).


Qualification & Experience:
BE/B.Tech Degree in Computer Programming, Computer Science, or a related field.
+4 years experience as a Software Developer.
Hands on experience in developing finance applications is must

Roles & Responsibilities:
We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment. 
As a Full Stack Developer, you should be comfortable around both front-end and back-end coding languages, development frameworks and third-party libraries. You should also be a team player with a knack for visual design and utility. Along with familiar with Agile methodologies and testing skills

Work with development teams and product managers to ideate software solutions
Design client-side and server-side architecture
Develop and manage well-functioning databases and applications
Write effective APIs
Write technical documentation
Excellent communication and teamwork skills

Technical Skills:
Must Have
React JS
Git / Bitbucket, 
Express JS, Python, HTML, CSS, Node JS
CI/CD like CircleCI
Postgres or any DB knowledge
Familiarity with AWS  or Azure or both 


Good to Have
Docker
Redux
Android development
React Native
Electron
GraphQL
Jira

What’s in for you:
● An opportunity to lead a business segment
● Extensive liaising with customers and partners
● A rewarding career progression

Preferred Location:
Delhi NCR
"
Delivery Boy,Karnawat Infotechs,YN Road,"10,000
						-
						120,000 ",Driving,"Karnawat Infotechs is aggressively hiring for the job profile of Delivery Boy for 10 open positions at Indore in YN Road locality. Kindly go through the FAQs below to get all answers related to the given job.

        "
Mauritius- Magazine Graphic Designer,AP Global Services Pvt. ltd.,Bengaluru,"70,833
						-
						104,167 ",Adobe Illustrator,"Higher diploma / Degree in Graphic Design
Excellent in layout design and typography
Experienced in magazine and publication design, knowledge in printing and output process is an advantage
Minimum 3 years of work experience in magazine design is preferred
Proficiency in Adobe Creative Suite (InDesign, Photoshop, Illustrator) & Chinese Word Processing. Knowledge for UI/UX design or motion graphics is a plus
Willing to complete project under tight deadline
Ability to work independently, efficiently and under pressure.
Candidate with more experience will be considered as Senior Graphic Designer
Immediate available is Higher preferred

Benefits:
- Accomodation will be provided.
- 12 months contract"
Kuwait- Technical Operations Manager- Oil/Gas,AP Global Services Pvt. ltd.,Bengaluru,"270,833
						-
						333,333 ",,"MBA-Marketing / B.E./B.Tech-Mechanical Engineering with minimum of 15 years experience in heavy steel fabrication industry.(GCC experience preferred)

Salary - KWD 1000-1200"
Business Development Executive (BDE),Optical Arc,Kharadi Bypass,"200,000
						-
						350,000 ",,"•	Developing and executing sales plans to meet and exceed monthly and quarterly sales goals
•	Growing business through the development of new leads and new contacts
•	Bidding on platforms like Upwork, freelancer etc
•	Identifying new revenue opportunities 
•	Building business relationships with current and potential clients
•	Attending networking events to attract and retain clients 
•	Developing and executing sales and marketing strategies to grow business
•	Maintaining and updating sales, marketing and business development documentation 
•	Assisting with marketing and promotional projects
•	Collaborating with management on sales goals
•	Support the team with other responsibilities as required "
(UK) Occupational Therapist,Salesman Corporation Private Limited Opc,Connaught Place,"280,000
						-
						320,000 ",,"Roles and Responsibilities:
Assess patients delegated by senior therapists, considering their physical, psychological, functional ability, emotional and social factors within rotational specialties. To screen referrals for appropriateness then assess and treat accordingly. Managing a caseload of varying complexity, seeking support from senior staff when necessary
• Devise effective client centered therapeutic care plans for each patient having made a judgment about the outcome of the assessment, recognizing him or her as an individual. The plan which has been developed in conjunction with the patient, carer and relevant others, should be
outcome based.
• Responsible for the provision of a treatment program, and where appropriate, direct or delegate the intervention as necessary through the Assistants or Technicians, or other members of the multi-disciplinary team.
• Assess capacity, gain valid consent and have the ability to work within a legal framework with patients who lack capacity to consent to treatment.

Eligibility: Course Specialization, Certificates
HCPC Registration, A minimum of one year’s post graduate experience working with patients in the areas of stroke
and general medicine
• Full HCPC registration,
• Full commitment to work with Northwest Anglia NHS Trust which has been developed in conjunction with the patient, carer and relevant others, should be outcome based.

Duration of job: 3 years
"
Accountant,SSterling Workforce Enterprises,Goregoan East,"15,000
						-
						100,000 ",GST,"Looking for Accountants
1. Jr Accountant 6 months+ experience 
2. Sr Accountant 3 to 7 years experience 

6 days working "
(Saudi Arabia) - QA / QC Inspector,AP Global Services Pvt. ltd.,Bengaluru,"100,000
						-
						200,000 ",Quality assurance,"POSITION:

QA / QC INSPECTOR (MECHANICAL)

Qualification & Experience:

Diploma in Mechanical & should have minimum 3 to 5 Yrs. experience.

Age : 25 - 40 Yrs.


Nationality : Indian

Email Id : rec8@asmacs.net

Role: Quality Auditor / Inspector
Industry Type: Iron & Steel
Department: Quality Assurance
Employment Type: Full Time, Permanent
Role Category: Business Process Quality
Education
UG: Any Graduate
Key Skills
QC; "
(Vietnam) Senior Product Manager - IT,AP Global Services Pvt. ltd.,Bengaluru,"250,000
						-
						300,000 ",Project management,"- Own projects/products/features from conception to launch, and evolution after
launch.

- You will manage your projects, track timelines, the resources, testing and have regular reports to stakeholders to ensure successful high quality delivery of projects


- Work with Stakeholders and Regional Product Team members to understand the vision and requirements.

- Work with Senior Tech Management team members to come up with solutions to implement the business requirements.

- Work closely with Product Team, Design and Engineering to specify requirements, and ensure features are being implemented according to business expectations.

- Scope documentation, use cases, workflows, wireframes, design and product requirements and other materials as needed to support UX design and development

- Work with regional product and dev teams to define data & metrics to be measured.

- Analyze data to derive business insights.

- Collaborate with designers to make sure your features deliver business objectives while also meeting a high standard of usability across web and mobile apps.

- Ensure business needs and deadlines are met and manage stakeholders expectations through effective written and oral communications.

- Partner with scrum lead to manage resource support and asset creation for development needs, while identifying and mitigating design and development risks.

- Integrate usability studies, research, and market analysis into detailed product requirements and feature specs.

QUALIFICATIONS:

- Bachelor Degree in IT, IS, Computer Science, related field.

- 4-5+ years product experience.

- Experience in ownership of a product/feature life cycle, from scratch to full launch, as well as evolution and enhancements after launch.

- Great understanding of product management practices, feature prioritization, roadmap, and business requirements

- Excellent at project management to launch products across multiple teams.

- Excellent with web and mobile standards, UX principles, designs, and usability.

- Excellent at product specifications and wireframing.

- Excellent with data analytics / KPI metrics (business intel experience is a plus).

- Scrum Master experience is a plus.

- Strong English skills with interpersonal and communicative style.

- Customer obsession. The ability to take on complex product challenges and find elegant, simplifying solutions to avoid making our users and partner's have bad experiences and problems.

Role: Product Head
Industry Type: IT Services & Consulting
Department: Product Management
Employment Type: Full Time, Permanent
Role Category: Product Management - Technology
Education
UG: B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Computers
PG: Any Postgraduate
Doctorate: Doctorate Not Required
Key Skills

product management
IT Product Managementproject managementUXProduct HeadwireframingScrum"
